bash: module: line 1: syntax error: unexpected end of file
bash: error importing function definition for `module'
000001
12
hdfs://babar.local:54310/user/hl1283/rgfout
login-3-33.local
Starting training
perl ./call_exe.pl ./rgf train_test ./long login-3-33.local 1245 12 000001
connecting to login-3-33.local:22222
@VIS: 6.66205 root 0-0
@VIS: 6.66205 0-0 0-1
@VIS: 6.66205 0-0 0-2
@VIS: 7.37741 root 1-0
@VIS: 7.37741 1-0 1-1
@VIS: 7.37741 1-0 1-2
@VIS: 7.94308 root 2-0
@VIS: 7.94308 2-0 2-1
@VIS: 7.94308 2-0 2-2
@VIS: 8.4959 root 3-0
@VIS: 8.4959 3-0 3-1
@VIS: 8.4959 3-0 3-2
@VIS: 9.04291 root 4-0
@VIS: 9.04291 4-0 4-1
@VIS: 9.04291 4-0 4-2
@VIS: 9.81611 root 5-0
@VIS: 9.81611 5-0 5-1
@VIS: 9.81611 5-0 5-2
@VIS: 10.6046 root 6-0
@VIS: 10.6046 6-0 6-1
@VIS: 10.6046 6-0 6-2
@VIS: 11.1914 root 7-0
@VIS: 11.1914 7-0 7-1
@VIS: 11.1914 7-0 7-2
@VIS: 12.0128 7-1 7-3
@VIS: 12.0128 7-1 7-4
@VIS: 12.7539 root 8-0
@VIS: 12.7539 8-0 8-1
@VIS: 12.7539 8-0 8-2
@VIS: 13.3091 root 9-0
@VIS: 13.3091 9-0 9-1
@VIS: 13.3091 9-0 9-2
@VIS: 13.8484 9-1 9-3
@VIS: 13.8484 9-1 9-4
@VIS: 14.3732 root 10-0
@VIS: 14.3732 10-0 10-1
@VIS: 14.3732 10-0 10-2
@VIS: 14.9184 root 11-0
@VIS: 14.9184 11-0 11-1
@VIS: 14.9184 11-0 11-2
@VIS: 15.6884 11-1 11-3
@VIS: 15.6884 11-1 11-4
@VIS: 16.6224 11-3 11-5
@VIS: 16.6224 11-3 11-6
@VIS: 17.0668 root 12-0
@VIS: 17.0668 12-0 12-1
@VIS: 17.0668 12-0 12-2
@VIS: 17.8484 12-1 12-3
@VIS: 17.8484 12-1 12-4
@VIS: 18.5175 root 13-0
@VIS: 18.5175 13-0 13-1
@VIS: 18.5175 13-0 13-2
@VIS: 19.0639 root 14-0
@VIS: 19.0639 14-0 14-1
@VIS: 19.0639 14-0 14-2
@VIS: 19.6301 14-1 14-3
@VIS: 19.6301 14-1 14-4
@VIS: 20.3557 root 15-0
@VIS: 20.3557 15-0 15-1
@VIS: 20.3557 15-0 15-2
@VIS: 20.9203 root 16-0
@VIS: 20.9203 16-0 16-1
@VIS: 20.9203 16-0 16-2
@VIS: 21.6716 16-1 16-3
@VIS: 21.6716 16-1 16-4
@VIS: 22.375 16-3 16-5
@VIS: 22.375 16-3 16-6
@VIS: 22.8589 16-5 16-7
@VIS: 22.8589 16-5 16-8
@VIS: 23.3032 root 17-0
@VIS: 23.3032 17-0 17-1
@VIS: 23.3032 17-0 17-2
@VIS: 23.8537 17-1 17-3
@VIS: 23.8537 17-1 17-4
@VIS: 24.3304 17-3 17-5
@VIS: 24.3304 17-3 17-6
@VIS: 24.8169 17-5 17-7
@VIS: 24.8169 17-5 17-8
@VIS: 25.3041 root 18-0
@VIS: 25.3041 18-0 18-1
@VIS: 25.3041 18-0 18-2
@VIS: 25.86 18-1 18-3
@VIS: 25.86 18-1 18-4
@VIS: 26.3506 root 19-0
@VIS: 26.3506 19-0 19-1
@VIS: 26.3506 19-0 19-2
@VIS: 26.9365 19-1 19-3
@VIS: 26.9365 19-1 19-4
@VIS: 27.6279 19-3 19-5
@VIS: 27.6279 19-3 19-6
@VIS: 28.0552 root 20-0
@VIS: 28.0552 20-0 20-1
@VIS: 28.0552 20-0 20-2
@VIS: 28.8074 20-1 20-3
@VIS: 28.8074 20-1 20-4
@VIS: 29.5264 root 21-0
@VIS: 29.5264 21-0 21-1
@VIS: 29.5264 21-0 21-2
@VIS: 30.2504 21-1 21-3
@VIS: 30.2504 21-1 21-4
@VIS: 30.7885 21-3 21-5
@VIS: 30.7885 21-3 21-6
@VIS: 31.8217 21-5 21-7
@VIS: 31.8217 21-5 21-8
@VIS: 32.2816 21-7 21-9
@VIS: 32.2816 21-7 21-10
@VIS: 32.748 root 22-0
@VIS: 32.748 22-0 22-1
@VIS: 32.748 22-0 22-2
@VIS: 33.5043 root 23-0
@VIS: 33.5043 23-0 23-1
@VIS: 33.5043 23-0 23-2
@VIS: 34.0421 23-1 23-3
@VIS: 34.0421 23-1 23-4
@VIS: 34.7644 root 24-0
@VIS: 34.7644 24-0 24-1
@VIS: 34.7644 24-0 24-2
@VIS: 35.3321 24-1 24-3
@VIS: 35.3321 24-1 24-4
@VIS: 36.2967 root 25-0
@VIS: 36.2967 25-0 25-1
@VIS: 36.2967 25-0 25-2
@VIS: 37.0475 25-1 25-3
@VIS: 37.0475 25-1 25-4
@VIS: 37.7644 root 26-0
@VIS: 37.7644 26-0 26-1
@VIS: 37.7644 26-0 26-2
@VIS: 38.4853 26-1 26-3
@VIS: 38.4853 26-1 26-4
@VIS: 38.9791 26-3 26-5
@VIS: 38.9791 26-3 26-6
@VIS: 39.6933 26-5 26-7
@VIS: 39.6933 26-5 26-8
@VIS: 40.169 26-7 26-9
@VIS: 40.169 26-7 26-10
@VIS: 40.8298 26-9 26-11
@VIS: 40.8298 26-9 26-12
@VIS: 41.3266 26-11 26-13
@VIS: 41.3266 26-11 26-14
@VIS: 41.9593 root 27-0
@VIS: 41.9593 27-0 27-1
@VIS: 41.9593 27-0 27-2
@VIS: 42.4718 27-1 27-3
@VIS: 42.4718 27-1 27-4
@VIS: 43.0153 27-4 27-5
@VIS: 43.0153 27-4 27-6
@VIS: 43.5036 root 28-0
@VIS: 43.5036 28-0 28-1
@VIS: 43.5036 28-0 28-2
@VIS: 44.061 root 29-0
@VIS: 44.061 29-0 29-1
@VIS: 44.061 29-0 29-2
@VIS: 44.6408 29-1 29-3
@VIS: 44.6408 29-1 29-4
@VIS: 45.2928 29-3 29-5
@VIS: 45.2928 29-3 29-6
@VIS: 45.7186 root 30-0
@VIS: 45.7186 30-0 30-1
@VIS: 45.7186 30-0 30-2
@VIS: 46.4613 30-1 30-3
@VIS: 46.4613 30-1 30-4
@VIS: 46.9765 root 31-0
@VIS: 46.9765 31-0 31-1
@VIS: 46.9765 31-0 31-2
@VIS: 47.503 31-1 31-3
@VIS: 47.503 31-1 31-4
@VIS: 47.9907 31-3 31-5
@VIS: 47.9907 31-3 31-6
@VIS: 47.991 opt
@VIS: 50.9924 root 32-0
@VIS: 50.9924 32-0 32-1
@VIS: 50.9924 32-0 32-2
@VIS: 51.8089 root 33-0
@VIS: 51.8089 33-0 33-1
@VIS: 51.8089 33-0 33-2
@VIS: 52.4062 root 34-0
@VIS: 52.4062 34-0 34-1
@VIS: 52.4062 34-0 34-2
@VIS: 52.9766 root 35-0
@VIS: 52.9766 35-0 35-1
@VIS: 52.9766 35-0 35-2
@VIS: 54.2059 35-1 35-3
@VIS: 54.2059 35-1 35-4
@VIS: 54.6959 root 36-0
@VIS: 54.6959 36-0 36-1
@VIS: 54.6959 36-0 36-2
@VIS: 55.2501 36-1 36-3
@VIS: 55.2501 36-1 36-4
@VIS: 55.9894 root 37-0
@VIS: 55.9894 37-0 37-1
@VIS: 55.9894 37-0 37-2
@VIS: 56.7547 37-1 37-3
@VIS: 56.7547 37-1 37-4
@VIS: 57.4587 root 38-0
@VIS: 57.4587 38-0 38-1
@VIS: 57.4587 38-0 38-2
@VIS: 58.0357 root 39-0
@VIS: 58.0357 39-0 39-1
@VIS: 58.0357 39-0 39-2
@VIS: 58.5997 root 40-0
@VIS: 58.5997 40-0 40-1
@VIS: 58.5997 40-0 40-2
@VIS: 59.3668 root 41-0
@VIS: 59.3668 41-0 41-1
@VIS: 59.3668 41-0 41-2
@VIS: 59.9033 41-1 41-3
@VIS: 59.9033 41-1 41-4
@VIS: 60.4265 root 42-0
@VIS: 60.4265 42-0 42-1
@VIS: 60.4265 42-0 42-2
@VIS: 60.992 42-1 42-3
@VIS: 60.992 42-1 42-4
@VIS: 61.4879 root 43-0
@VIS: 61.4879 43-0 43-1
@VIS: 61.4879 43-0 43-2
@VIS: 62.0596 root 44-0
@VIS: 62.0596 44-0 44-1
@VIS: 62.0596 44-0 44-2
@VIS: 62.8182 44-1 44-3
@VIS: 62.8182 44-1 44-4
@VIS: 63.3386 root 45-0
@VIS: 63.3386 45-0 45-1
@VIS: 63.3386 45-0 45-2
@VIS: 64.1178 45-1 45-3
@VIS: 64.1178 45-1 45-4
@VIS: 64.5743 root 46-0
@VIS: 64.5743 46-0 46-1
@VIS: 64.5743 46-0 46-2
@VIS: 65.1138 46-1 46-3
@VIS: 65.1138 46-1 46-4
@VIS: 65.832 46-2 46-5
@VIS: 65.832 46-2 46-6
